CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
psychosisvsCN;L_bankssts_thickavg;-0,09;;-0,16;-0,02;;;0,01;0,03
psychosisvsCN;L_caudalanteriorcingulate_thickavg;-0,08;;-0,15;-0,01;;;0,02;0,05
psychosisvsCN;L_caudalmiddlefrontal_thickavg;-0,12;;-0,19;-0,04;;;1,45E-03;7,50E-03
psychosisvsCN;L_cuneus_thickavg;0,01;;-0,06;0,08;;;0,83;0,89
psychosisvsCN;L_entorhinal_thickavg;-0,02;;-0,09;0,05;;;0,51;0,65
psychosisvsCN;L_fusiform_thickavg;-0,17;;-0,24;-0,1;;;1,55E-06;7,07E-05
psychosisvsCN;L_inferiorparietal_thickavg;-0,16;;-0,24;-0,09;;;5,31E-06;1,65E-04
psychosisvsCN;L_inferiortemporal_thickavg;-0,13;;-0,2;-0,06;;;4,00E-04;2,95E-03
psychosisvsCN;L_isthmuscingulate_thickavg;-0,03;;-0,1;0,04;;;0,41;0,56
psychosisvsCN;L_lateraloccipital_thickavg;-0,12;;-0,19;-0,05;;;1,22E-03;6,99E-03
psychosisvsCN;L_lateralorbitofrontal_thickavg;-0,08;;-0,15;-0,01;;;0,03;0,07
psychosisvsCN;L_lingual_thickavg;-0,04;;-0,11;0,04;;;0,33;0,46
psychosisvsCN;L_medialorbitofrontal_thickavg;-0,13;;-0,2;-0,06;;;2,33E-04;2,17E-03
psychosisvsCN;L_middletemporal_thickavg;-0,1;;-0,17;-0,03;;;7,30E-03;0,02
psychosisvsCN;L_parahippocampal_thickavg;-0,13;;-0,2;-0,06;;;4,63E-04;3,26E-03
psychosisvsCN;L_paracentral_thickavg;-0,15;;-0,22;-0,08;;;3,24E-05;5,58E-04
psychosisvsCN;L_parsopercularis_thickavg;-0,05;;-0,12;0,02;;;0,19;0,3
psychosisvsCN;L_parsorbitalis_thickavg;-0,06;;-0,13;0,02;;;0,12;0,23
psychosisvsCN;L_parstriangularis_thickavg;0,01;;-0,06;0,08;;;0,7;0,81
psychosisvsCN;L_pericalcarine_thickavg;0,02;;-0,05;0,09;;;0,54;0,68
psychosisvsCN;L_postcentral_thickavg;-0,1;;-0,17;-0,02;;;8,30E-03;0,03
psychosisvsCN;L_posteriorcingulate_thickavg;-0,11;;-0,18;-0,03;;;3,48E-03;0,01
psychosisvsCN;L_precentral_thickavg;-0,13;;-0,2;-0,06;;;3,51E-04;2,17E-03
psychosisvsCN;L_precuneus_thickavg;-0,11;;-0,18;-0,04;;;1,68E-03;8,39E-03
psychosisvsCN;L_rostralanteriorcingulate_thickavg;-0,11;;-0,18;-0,04;;;2,38E-03;0,01
psychosisvsCN;L_rostralmiddlefrontal_thickavg;-0,13;;-0,2;-0,06;;;2,91E-04;2,37E-03
psychosisvsCN;L_superiorfrontal_thickavg;-0,11;;-0,18;-0,04;;;2,79E-03;0,01
psychosisvsCN;L_superiorparietal_thickavg;-0,1;;-0,18;-0,03;;;3,88E-03;0,01
psychosisvsCN;L_superiortemporal_thickavg;-0,12;;-0,19;-0,05;;;1,05E-03;6,48E-03
psychosisvsCN;L_supramarginal_thickavg;-0,11;;-0,18;-0,04;;;3,27E-03;0,01
psychosisvsCN;L_frontalpole_thickavg;-0,05;;-0,12;0,02;;;0,2;0,32
psychosisvsCN;L_temporalpole_thickavg;-0,06;;-0,13;0,02;;;0,13;0,23
psychosisvsCN;L_transversetemporal_thickavg;-0,07;;-0,14;0;;;0,05;0,1
psychosisvsCN;L_insula_thickavg;-0,17;;-0,24;-0,1;;;1,83E-06;7,07E-05
psychosisvsCN;R_bankssts_thickavg;-0,13;;-0,2;-0,06;;;2,33E-04;2,17E-03
psychosisvsCN;R_caudalanteriorcingulate_thickavg;-0,07;;-0,14;0;;;0,06;0,13
psychosisvsCN;R_caudalmiddlefrontal_thickavg;-0,12;;-0,2;-0,05;;;6,13E-04;4,13E-03
psychosisvsCN;R_cuneus_thickavg;-0,05;;-0,12;0,02;;;0,18;0,3
psychosisvsCN;R_entorhinal_thickavg;-0,06;;-0,13;0,01;;;0,1;0,19
psychosisvsCN;R_fusiform_thickavg;-0,11;;-0,18;-0,04;;;2,33E-03;0,01
psychosisvsCN;R_inferiorparietal_thickavg;-0,11;;-0,18;-0,04;;;2,10E-03;0,01
psychosisvsCN;R_inferiortemporal_thickavg;-0,15;;-0,22;-0,08;;;4,36E-05;5,63E-04
psychosisvsCN;R_isthmuscingulate_thickavg;-0,06;;-0,13;0,01;;;8,00E-02;0,16
psychosisvsCN;R_lateraloccipital_thickavg;-0,16;;-0,23;-0,09;;;1,04E-05;2,70E-04
psychosisvsCN;R_lateralorbitofrontal_thickavg;-0,09;;-0,16;-0,02;;;0,02;0,05
psychosisvsCN;R_lingual_thickavg;-0,01;;-0,08;0,07;;;0,88;0,91
psychosisvsCN;R_medialorbitofrontal_thickavg;-0,11;;-0,18;-0,03;;;3,56E-03;0,01
psychosisvsCN;R_middletemporal_thickavg;-0,18;;-0,26;-0,11;;;3,81E-07;5,46E-05
psychosisvsCN;R_parahippocampal_thickavg;-0,07;;-0,15;0;;;0,04;0,09
psychosisvsCN;R_paracentral_thickavg;-0,11;;-0,18;-0,04;;;2,97E-03;0,01
psychosisvsCN;R_parsopercularis_thickavg;-0,07;;-0,14;0;;;0,04;0,1
psychosisvsCN;R_parsorbitalis_thickavg;0;;-0,07;0,07;;;0,94;0,97
psychosisvsCN;R_parstriangularis_thickavg;-0,05;;-0,12;0,02;;;0,15;0,27
psychosisvsCN;R_pericalcarine_thickavg;0,05;;-0,02;0,12;;;0,18;0,3
psychosisvsCN;R_postcentral_thickavg;-0,12;;-0,19;-0,05;;;1,14E-03;6,77E-03
psychosisvsCN;R_posteriorcingulate_thickavg;-0,13;;-0,2;-0,06;;;2,38E-04;2,17E-03
psychosisvsCN;R_precentral_thickavg;-0,13;;-0,2;-0,06;;;2,60E-04;2,24E-03
psychosisvsCN;R_precuneus_thickavg;-0,15;;-0,22;-0,08;;;4,02E-05;5,63E-04
psychosisvsCN;R_rostralanteriorcingulate_thickavg;-0,08;;-0,15;-0,01;;;0,02;0,06
psychosisvsCN;R_rostralmiddlefrontal_thickavg;-0,12;;-0,19;-0,04;;;1,43E-03;7,50E-03
psychosisvsCN;R_superiorfrontal_thickavg;-0,09;;-0,16;-0,02;;;0,01;0,04
psychosisvsCN;R_superiorparietal_thickavg;-0,12;;-0,19;-0,05;;;8,12E-04;5,24E-03
psychosisvsCN;R_superiortemporal_thickavg;-0,15;;-0,22;-0,08;;;5,31E-05;6,33E-04
psychosisvsCN;R_supramarginal_thickavg;-0,1;;-0,17;-0,03;;;7,48E-03;0,02
psychosisvsCN;R_frontalpole_thickavg;-0,08;;-0,15;-0,01;;;0,03;0,07
psychosisvsCN;R_temporalpole_thickavg;-0,08;;-0,15;-0,01;;;0,02;0,06
psychosisvsCN;R_transversetemporal_thickavg;-0,11;;-0,18;-0,04;;;2,43E-03;0,01
psychosisvsCN;R_insula_thickavg;-0,16;;-0,23;-0,08;;;1,66E-05;3,45E-04
