Subcortical Volume;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
BIPS< no BIPS;LLatVent;0.02;;-0.2;0.23;;;0.88;
BIPS< no BIPS;Lthal;-0.13;;-0.35;0.08;;;0.21;
BIPS< no BIPS;Lcaud;-0.09;;-0.31;0.12;;;0.39;
BIPS< no BIPS;Lput;-0.09;;-0.3;0.13;;;0.42;
BIPS< no BIPS;Lpal;-0.05;;-0.26;0.16;;;0.64;
BIPS< no BIPS;Lhippo;-0.10;;-0.31;0.11;;;0.36;
BIPS< no BIPS;Lamyg;-0.02;;-0.23;0.2;;;0.86;
BIPS< no BIPS;Laccumb;-0.18;;-0.39;0.04;;;0.10;
BIPS< no BIPS;RLatVent;-0.19;;-0.4;0.03;;;0.09;
BIPS< no BIPS;Rthal;-0.19;;-0.4;0.03;;;0.09;
BIPS< no BIPS;Rcaud;-0.10;;-0.32;0.11;;;0.36;
BIPS< no BIPS;Rput;-0.06;;-0.27;0.16;;;0.60;
BIPS< no BIPS;Rpal;-0.09;;-0.3;0.13;;;0.43;
BIPS< no BIPS;Rhippo;-0.04;;-0.25;0.18;;;0.74;
BIPS< no BIPS;Ramyg;0.11;;-0.1;0.32;;;0.31;
BIPS< no BIPS;Raccumb;-0.12;;-0.34;0.09;;;0.25;
;;;;;;;;;
