Subcortical Volume;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no BIPS< HC;LLatVent;0.11;;0.04;0.19;;;2.86e-03;
no BIPS< HC;Lthal;-0.04;;-0.11;0.03;;;0.30;
no BIPS< HC;Lcaud;0.02;;-0.05;0.1;;;0.55;
no BIPS< HC;Lput;0;;-0.07;0.07;;;0.99;
no BIPS< HC;Lpal;-0.02;;-0.09;0.06;;;0.63;
no BIPS< HC;Lhippo;-0.06;;-0.13;0.01;;;0.10;
no BIPS< HC;Lamyg;-0.04;;-0.11;0.04;;;0.34;
no BIPS< HC;Laccumb;-0.02;;-0.09;0.05;;;0.63;
no BIPS< HC;RLatVent;0.11;;0.04;0.19;;;2.40e-03;
no BIPS< HC;Rthal;-0.08;;-0.15;0;;;0.04;
no BIPS< HC;Rcaud;-0.01;;-0.08;0.1;;;0.55;
no BIPS< HC;Rput;0;;-0.07;0.07;;;0.96;
no BIPS< HC;Rpal;-0.01;;-0.09;0.06;;;0.71;
no BIPS< HC;Rhippo;-0.14;;-0.21;-0.06;;;2.25e-04;
no BIPS< HC;Ramyg;-0.09;;-0.16;-0.02;;;0.01;
no BIPS< HC;Raccumb;0.01;;-0.06;0.08;;;0.81;
;;;;;;;;;
